date,copies_per_mL
2020-11-11,396
2020-11-12,318
2020-11-13,301
2020-11-14,313
2020-11-15,286
2020-11-16,311
2020-11-17,412
2020-11-18,353
2020-11-19,384
2020-11-20,371
2020-11-21,385
2020-11-22,435
2020-11-23,267
2020-11-24,518
2020-11-25,459
2020-11-26,495
2020-11-27,561
2020-11-28,546
2020-11-29,520
2020-11-30,675
2020-12-01,862
2020-12-02,857
2020-12-03,888
2020-12-04,1384
2020-12-05,956
2020-12-06,1035
2020-12-07,1219
2020-12-08,725
2020-12-09,629
2020-12-10,812
2020-12-11,1146
2020-12-12,1023
2020-12-13,1356
2020-12-14,1195
2020-12-15,202
2020-12-16,877
2020-12-17,1111
2020-12-18,1048
2020-12-19,1176
2020-12-20,897
2020-12-21,775
2020-12-22,995
2020-12-23,841
2020-12-24,985
2020-12-25,907
2020-12-26,551
2020-12-27,1208
2020-12-28,1448
2020-12-29,774
2020-12-30,1451
2020-12-31,792
2021-01-01,473
2021-01-02,367
2021-01-03,395
2021-01-04,546
2021-01-05,942
2021-01-06,1061
2021-01-07,1051
2021-01-08,1329
2021-01-09,1411
2021-01-10,1180
2021-01-11,1013
2021-01-12,920
2021-01-13,983
2021-01-14,951
2021-01-15,1112
2021-01-16,672
2021-01-17,581
2021-01-18,603
2021-01-19,966
2021-01-20,422
2021-01-21,591
2021-01-22,690
2021-01-23,866
2021-01-24,663
2021-01-25,631
2021-01-26,290
2021-01-27,350
2021-01-28,421
2021-01-29,329
2021-01-30,490
2021-01-31,397
2021-02-01,363
2021-02-02,274
2021-02-03,283
2021-02-04,249
2021-02-05,366
2021-02-06,434
2021-02-07,295
2021-02-08,412
2021-02-09,315
2021-02-10,225
2021-02-11,382
2021-02-12,358
2021-02-13,285
2021-02-14,283
2021-02-15,155
2021-02-16,190
2021-02-17,232
2021-02-18,412
2021-02-19,579
2021-02-20,182
2021-02-21,308
2021-02-22,386
2021-02-23,163
2021-02-24,260
2021-02-25,193
2021-02-26,124
2021-02-27,243
2021-02-28,211
2021-03-01,251
2021-03-02,218
2021-03-03,279
2021-03-04,332
2021-03-05,287
2021-03-06,190
2021-03-07,191
2021-03-08,284
2021-03-09,217
2021-03-10,208
2021-03-11,185
2021-03-12,364
2021-03-13,366
2021-03-14,235
2021-03-15,310
2021-03-16,216
2021-03-17,266
2021-03-18,415
2021-03-19,259
2021-03-20,382
2021-03-21,227
2021-03-22,286
2021-03-23,286
2021-03-24,245
2021-03-25,266
2021-03-26,209
2021-03-27,313
2021-03-28,218
2021-03-29,276
2021-03-30,212
2021-03-31,107
2021-04-01,233
2021-04-02,246
2021-04-03,177
2021-04-04,388
2021-04-05,273
2021-04-06,233
2021-04-07,222
2021-04-08,247
2021-04-09,300
2021-04-10,349
2021-04-11,287
2021-04-12,338
2021-04-13,170
2021-04-14,240
2021-04-15,237
2021-04-16,178
2021-04-17,271
2021-04-18,245
2021-04-19,181
2021-04-20,131
2021-04-21,158
2021-04-22,108
2021-04-23,80
2021-04-24,127
2021-04-25,176
2021-04-26,154
2021-04-27,107
2021-04-28,102
2021-04-29,133
2021-04-30,78
2021-05-01,97
2021-05-02,75
2021-05-03,67
2021-05-04,91
2021-05-05,84
2021-05-06,96
2021-05-07,69
2021-05-08,75
2021-05-09,87
2021-05-10,66
2021-05-11,23
2021-05-12,60
2021-05-13,62
2021-05-14,56
2021-05-15,49
2021-05-16,36
2021-05-17,44
2021-05-18,29
2021-05-19,31
2021-05-20,57
2021-05-21,48
2021-05-22,43
2021-05-23,18
2021-05-24,40
2021-05-25,30
2021-05-26,20
2021-05-27,21
2021-05-28,26
2021-05-29,12
2021-05-30,21
2021-05-31,15
2021-06-01,30
2021-06-02,28
2021-06-03,24
2021-06-04,20
2021-06-05,38
2021-06-06,24
2021-06-07,29
2021-06-08,15
2021-06-09,14
2021-06-10,33
2021-06-11,40
2021-06-12,32
2021-06-13,20
2021-06-14,11
2021-06-15,9
2021-06-16,13
2021-06-17,16
2021-06-18,16
2021-06-19,11
2021-06-20,15
2021-06-21,19
2021-06-22,17
2021-06-23,18
2021-06-25,31
2021-06-26,14
2021-06-27,13
2021-06-28,52
2021-06-29,56
2021-06-30,23
2021-07-01,19
2021-07-02,40
2021-07-03,45
2021-07-04,61
2021-07-05,28
2021-07-06,27
2021-07-08,50
2021-07-09,76
2021-07-10,73
2021-07-11,52
2021-07-12,87
2021-07-14,102
2021-07-15,59
2021-07-16,80
2021-07-17,57
2021-07-18,118
2021-07-19,163
2021-07-20,126
2021-07-21,167
2021-07-22,136
2021-07-23,202
2021-07-24,148
2021-07-25,249
2021-07-26,263
2021-07-27,181
2021-07-28,279
2021-07-29,200
2021-07-30,184
2021-07-31,135
2021-08-01,223
2021-08-02,213
2021-08-03,171
2021-08-04,144
2021-08-05,161
2021-08-06,186
2021-08-07,665
2021-08-08,659
2021-08-09,691
2021-08-10,329
2021-08-11,240
2021-08-12,681
2021-08-13,376
2021-08-14,363
2021-08-15,306
2021-08-16,325
2021-08-17,335
2021-08-18,229
2021-08-19,227
2021-08-20,320
2021-08-21,695
2021-08-22,315
2021-08-23,249
2021-08-24,290
2021-08-25,385
2021-08-26,383
2021-08-27,444
2021-08-28,408
2021-08-29,304
2021-08-30,320
2021-08-31,347
2021-09-01,164
2021-09-02,205
2021-09-03,326
2021-09-04,266
2021-09-05,239
2021-09-06,281
2021-09-07,221
2021-09-08,170
2021-09-09,170
2021-09-10,65
2021-09-11,189
2021-09-12,217
2021-09-13,133
2021-09-14,675
2021-09-15,330
2021-09-16,494
2021-09-17,493
2021-09-18,571
2021-09-19,395
2021-09-20,312
2021-09-21,254
2021-09-22,195
2021-09-23,218
2021-09-24,187
2021-09-25,450
2021-09-26,218
2021-09-27,307
2021-09-28,270
2021-09-29,272
2021-09-30,477
2021-10-01,335
2021-10-02,366
2021-10-03,381
2021-10-04,324
2021-10-05,377
2021-10-06,184
2021-10-07,260
2021-10-08,415
2021-10-09,306
2021-10-10,381
2021-10-11,345
2021-10-12,216
2021-10-13,190
2021-10-14,207
2021-10-15,243
2021-10-16,185
2021-10-17,131
2021-10-18,161
2021-10-19,189
2021-10-20,300
2021-10-21,344
2021-10-22,351
2021-10-23,436
2021-10-24,495
2021-10-25,298
2021-10-26,240
2021-10-27,316
2021-10-28,451
2021-10-29,554
2021-10-30,214
2021-10-31,109
2021-11-01,352
2021-11-02,423
2021-11-03,533
2021-11-04,538
2021-11-05,496
2021-11-06,340
2021-11-07,295
2021-11-08,317
2021-11-09,285
2021-11-10,546
2021-11-11,291
2021-11-12,529
2021-11-13,717
2021-11-14,760
2021-11-15,845
2021-11-16,430
2021-11-17,801
2021-11-18,877
2021-11-19,363
2021-11-20,540
2021-11-21,684
2021-11-22,443
2021-11-23,747
2021-11-24,910
2021-11-25,927
2021-11-26,382
2021-11-27,967
2021-11-28,901
2021-11-29,1066
2021-11-30,1204
2021-12-01,1509
2021-12-02,1163
2021-12-03,858
2021-12-04,1223
2021-12-05,1905
2021-12-06,1093
2021-12-07,1112
2021-12-08,1126
2021-12-09,1105
2021-12-10,1257
2021-12-11,1363
2021-12-12,1040
2021-12-13,2511
2021-12-14,765
2021-12-15,1211
2021-12-16,1751
2021-12-17,2466
2021-12-18,1908
2021-12-19,2111
2021-12-20,2373
2021-12-21,2109
2021-12-22,2277
2021-12-23,4189
2021-12-24,5383
2021-12-25,6196
2021-12-26,4572
2021-12-27,8980
2021-12-28,10243
2021-12-29,6873
2021-12-30,8435
2021-12-31,9175
2022-01-01,6568
2022-01-02,7773
2022-01-03,10196
2022-01-04,8264
2022-01-05,10833
2022-01-06,6549
2022-01-07,4705
2022-01-08,3640
2022-01-09,3807
2022-01-10,2319
2022-01-11,2813
2022-01-12,2216
2022-01-13,2562
2022-01-14,3525
2022-01-15,1737
2022-01-16,1586
2022-01-17,2411
2022-01-18,1489
2022-01-19,1766
2022-01-20,1245
2022-01-21,1220
2022-01-22,1549
2022-01-23,1420
2022-01-24,1327
2022-01-25,830
2022-01-26,904
2022-01-27,1426
2022-01-28,821
2022-01-29,1132
2022-01-30,1066
2022-01-31,1053
2022-02-01,453
2022-02-02,334
2022-02-03,392
2022-02-04,422
2022-02-05,716
2022-02-06,336
2022-02-07,292
2022-02-08,110
2022-02-09,235
2022-02-10,233
2022-02-11,247
